The report

NAME                                                BOOKING      FLIGHT  EXCESS FEE  CHECK-IN STATUS  
Adam Kinzinger                                    K000378HV785   HV785     0.000000            N     
Adam Schiff                                       S001150EY502   EY502     0.000000            N     
Adam Smith                                        S000510HV785   HV785     0.000000            N     
Adrian Smith                                      S001172UA712   UA712     0.000000            N     
Adriano Espaillat                                 E000297IX539   IX539     0.000000            N     
Al Green                                          G000553DY491   DY491     0.000000            N     
Al Lawson                                         L000586HV785   HV785     0.000000            N     
Alan Lowenthal                                    L000579AS704   AS704     0.000000            N     
Albio Sires                                       S001165TK464   TK464     0.000000            N     
Alcee Hastings                                    H000324ZH135   ZH135     0.000000            N     
Alex Mooney                                       M001195UG608   UG608     0.000000            N     
Alma Adams                                        A000370OA422   OA422     0.000000            N     
Ami Bera                                          B001287DY491   DY491     0.000000            N     
Amy Klobuchar                                     K000367CZ836   CZ836     0.000000            N     
André Carson                                      C001072SN890   SN890     0.000000            N     
Andy Biggs                                        B001302WN616   WN616     0.000000            N     
Andy Harris                                       H001052UA712   UA712     0.000000            N     
Angus King                                        K000383SC504   SC504     0.000000            N     
Ann Kuster                                        K000382WN616   WN616     0.000000            N     
Anna Eshoo                                        E000215JD282   JD282     0.000000            N     
Anthony Brown                                     B001304HV785   HV785     0.000000            N     
Aumua Amata                                       R000600UA712   UA712     0.000000            N     
Austin Scott                                      S001189AY741   AY741     0.000000            N     
Barbara Comstock                                  C001105VY654   VY654     0.000000            N     
Barbara Lee                                       L000551MF994   MF994     0.000000            N     
Barry Loudermilk                                  L000583KE978   KE978     0.000000            N     
Ben Luján                                         L000570CZ836   CZ836     0.000000            N     
Benjamin Cardin                                   C000141FR739   FR739     0.000000            N     
Benjamin Sasse                                    S001197OA422   OA422     0.000000            N     
Bennie Thompson                                   T000193JD282   JD282     0.000000            N     
Beto O’Rourke                                     O000170UA712   UA712     0.000000            N     
Betty McCollum                                    M001143CZ836   CZ836     0.000000            N     
Bill Cassidy                                      C001075LO671   LO671     0.000000            N     
Bill Flores                                       F000461AD748   AD748     0.000000            N     
Bill Foster                                       F000454FR739   FR739     0.000000            N     
Bill Johnson                                      J000292IX539   IX539     0.000000            N     
Bill Nelson                                       N000032OA422   OA422     0.000000            N     
Bill Pascrell                                     P000096LH866   LH866     0.000000            N     
Bill Posey                                        P000599JQ713   JQ713     0.000000            N     
Bill Shuster                                      S001154TO257   TO257     0.000000            N     
Billy Long                                        L000576GA869   GA869     0.000000            N     
Blaine Luetkemeyer                                L000569US668   US668     0.000000            N     
Blake Farenthold                                  F000460OA422   OA422     0.000000            N     
Bob Corker                                        C001071QR971   QR971     0.000000            N     
Bob Goodlatte                                     G000289PW252   PW252     0.000000            N     
Bobby Rush                                        R000515NH569   NH569     0.000000            N     
Bonnie Watson Coleman                             W000822NH569   NH569     0.000000            N     
Brad Sherman                                      S000344HA254   HA254     0.000000            N     
Brad Wenstrup                                     W000815OA422   OA422     0.000000            N     
Bradley Byrne                                     B001289VA694   VA694     0.000000            N     
Bradley Schneider                                 S001190AI463   AI463     0.000000            N     
Brenda Lawrence                                   L000581LH866   LH866     0.000000            N     
Brendan Boyle                                     B001296SN890   SN890     0.000000            N     
Brett Guthrie                                     G000558JD282   JD282     0.000000            N     
Brian Babin                                       B001291MS273   MS273     0.000000            N     
Brian Fitzpatrick                                 F000466WX726   WX726     0.000000            N     
Brian Higgins                                     H001038UG608   UG608     0.000000            N     
Brian Mast                                        M001199NH569   NH569     0.000000            N     
Brian Schatz                                      S001194AS704   AS704     0.000000            N     
Bruce Poliquin                                    P000611DL872   DL872     0.000000            N     
Bruce Westerman                                   W000821IX539   IX539     0.000000            N     
Buddy Carter                                      C001103HV785   HV785     0.000000            N     
Carlos Curbelo                                    C001107US668   US668     0.000000            N     
Carol Shea Porter                                 S001170HV785   HV785     0.000000            N     
Carolyn Maloney                                   M000087AI463   AI463     0.000000            N     
Catherine Cortez Masto                            C001113AY741   AY741     0.000000            N     
Cathy McMorris Rodgers                            M001159IX539   IX539     0.000000            N     
Cedric Richmond                                   R000588CZ836   CZ836     0.000000            N     
Charles Dent                                      D000604VY654   VY654     0.000000            N     
Charles Fleischmann                               F000459KN930   KN930     0.000000            N     
Charles Grassley                                  G000386IX539   IX539     0.000000            N     
Charles Schumer                                   S000148SC504   SC504     0.000000            N     
Charlie Crist                                     C001111KN930   KN930     0.000000            N     
Chellie Pingree                                   P000597IX539   IX539     0.000000            N     
Cheri Bustos                                      B001286US668   US668     0.000000            N     
Chris Collins                                     C001092CZ836   CZ836     0.000000            N     
Chris Coons                                       C001088AI463   AI463     0.000000            N     
Chris Stewart                                     S001192AS704   AS704     0.000000            N     
Chris Van Hollen                                  V000128KE978   KE978     0.000000            N     
Christopher Murphy                                M001169QR971   QR971     0.000000            N     
Christopher Smith                                 S000522OA422   OA422     0.000000            N     
Claire McCaskill                                  M001170EK806   EK806     0.000000            N     
Claudia Tenney                                    T000478DL872   DL872     0.000000            N     
Clay Higgins                                      H001077HV785   HV785     0.000000            N     
Colleen Hanabusa                                  H001050IX539   IX539     0.000000            N     
Collin Peterson                                   P000258IX539   IX539     0.000000            N     
Cory Booker                                       B001288WN616   WN616     0.000000            N     
Cory Gardner                                      G000562FL202   FL202     0.000000            N     
